case_year	case_status	emp_name	emp_city	emp_state	emp_zip	emp_country	job_title	soc_code	soc_name	full_time_position	prevailing_wage	pw_unit	pw_level	wage_from	wage_to	wage_unit	work_city	work_state	emp_h1b_dependent	emp_willful_violator	lat	lng	processing_time
2014	C	TRANS AMERICAN INFORMATION SYSTEMS INC	LEWISVILLE	TX	75057		LEAD ATG DEVELOPER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	73861	Y		85000		Y	CORTE MADERA	CA			37.92548	-122.52747	7
2012	C	LOGICGATE TECHNOLOGIES, INC.	PRINCETON	NJ	8540		DATA ANALYST	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	41933	Y		41933	70000	Y	KNOXVILLE	TN			35.96064	-83.92074	6
2014	C	NS HOME SHOPPING CO., LTD	LOS ANGELES	CA	90010		PURCHASING MANAGER	Nov-61	PURCHASING MANAGERS	N	32.9	H		32.9		H	LOS ANGELES	CA			34.052235	-118.24368	6
2013	C	INFOSYS LIMITED	PLANO	TX	75024		TECHNOLOGY LEAD- ENGINEERING- US	15-1131	COMPUTER PROGRAMMERS	Y	55682	Y		79104		Y	WICHITA	KS			37.692238	-97.33755	6
2017	C	CHASSIX, INC.	SOUTHFIELD	MI	48034	USA	ENGINEER II - CASTING	17-2141	MECHANICAL ENGINEERS	Y	76773	Y	Level II	76773	0	Y	SOUTHFIELD	MI	N	N	42.47337	-83.22187	6
2012	C	ZS ASSOCIATES, INC.	EVANSTON	IL	60201		BUSINESS TECHNOLOGY MANAGER	36465	MANAGERS, ALL OTHER	Y	73195	Y		80000	100000	Y	LOS ANGELES	CA			34.052235	-118.24368	6
2013	C	DATAMETRICS SOFTWARE SYSTEMS INC	PISCATAWAY	NJ	8854		SOFTWARE ENGINEER	15-1131	COMPUTER PROGRAMMERS	Y	63440	Y		63440		Y	BATON ROUGE	LA			30.450747	-91.15455	6
2013	C	PIONEER HI-BRED INTERNATIONAL, INC.	JOHNSTON	IA	50131		COMPETITIVE TECHNICAL INTELLIGENCE MANAGER	19-1013	SOIL AND PLANT SCIENTISTS	Y	78208	Y		79000	96000	Y	JOHNSTON	IA			41.673042	-93.69772	6
2011	D	MICHELL ENTERPRISES LLC	WINDSOR LOCKS	CT	6096		STAFF ACCOUNTANT	13-2011.01	ACCOUNTANTS	Y	42390	Y		44000		Y	WINDSOR LOCKS	CT			41.929264	-72.62731	2
2014	C	INFOSYS LIMITED	PLANO	TX	75024		ASSOCIATE CONSULTANT - US	15-1121	COMPUTER SYSTEMS ANALYSTS	Y	62504	Y		65785		Y	EL SEGUNDO	CA			33.919178	-118.416466	7
2017	C	MILLENNIUMSOFT INC.	FAIRFAX	VA	22031	USA	MOBILE & UI DEVELOPER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	71323	Y	Level I	71323	0	Y	PHILADELPHIA	PA	N	N	39.952335	-75.16379	6
2015	C	KPIT INFOSYSTEMS, INC.	EDISON	NJ	8837	USA	IT CONSULTANT	15-1131	COMPUTER PROGRAMMERS	Y	52499	Y	Level I	60000		Y	EDISON	NJ	Y	N	40.518715	-74.412094	5
2017	C	NCS PEARSON, INC.	OLD TAPPAN	NJ	7675	USA	SOFTWARE DEVELOPER	15-1132	SOFTWARE DEVELOPERS, APPLICATIONS	Y	102003	Y	Level II	124675	125000	Y	FREMONT	CA	N	N	37.54827	-121.98857	6
2016	C	IBM CORPORATION	DURHAM	NC	27709	USA	SOFTWARE ENGINEER	15-1131	COMPUTER PROGRAMMERS		85634	Y		85634.04	0	Y	FOSTER CITY	CA	N	N	37.558548	-122.27108	6
